Job_ID,Role,Company,Location,Required_Skill,Experience_Level,Salary_LPA,Remote_Option,Posting_Year
JOB2026_141,Cloud Engineer,Meta,Bangalore,Machine Learning,0-2 Years,25,No,2026
JOB2026_142,AI Engineer,Microsoft,Bangalore,AWS,2-5 Years,32,Yes,2026
JOB2026_143,Cyber Security Analyst,Netflix,Chennai,Azure,5+ Years,16,Yes,2026
JOB2026_144,Full Stack Developer,Netflix,Pune,Machine Learning,Fresher,12,No,2026
JOB2026_145,AI Engineer,Flipkart,Pune,Machine Learning,Fresher,7,No,2026
JOB2026_146,Full Stack Developer,Netflix,Hyderabad,Machine Learning,0-2 Years,24,Yes,2026
JOB2026_147,Machine Learning Engineer,OpenAI,Hyderabad,Machine Learning,5+ Years,35,Yes,2026
JOB2026_148,DevOps Engineer,TCS,Chennai,Power BI,Fresher,22,Yes,2026
JOB2026_149,Software Engineer,Amazon,Chennai,Power BI,0-2 Years,30,No,2026
JOB2026_150,Full Stack Developer,TCS,Mumbai,AWS,Fresher,17,No,2026
JOB2026_151,Machine Learning Engineer,Accenture,Pune,Docker,Fresher,33,Yes,2026
JOB2026_152,Cloud Engineer,Meta,Noida,Machine Learning,Fresher,31,Yes,2026
JOB2026_153,Data Analyst,Accenture,Bangalore,Kubernetes,2-5 Years,25,Yes,2026
JOB2026_154,Software Engineer,Amazon,Hyderabad,Kubernetes,5+ Years,18,No,2026
JOB2026_155,DevOps Engineer,Microsoft,Delhi,React,0-2 Years,17,No,2026
JOB2026_156,Cyber Security Analyst,Accenture,Mumbai,SQL,5+ Years,4,Yes,2026
JOB2026_157,DevOps Engineer,Meta,Hyderabad,Power BI,2-5 Years,12,Yes,2026
JOB2026_158,Cloud Engineer,Flipkart,Delhi,AWS,Fresher,27,No,2026
JOB2026_159,Full Stack Developer,OpenAI,Mumbai,AWS,5+ Years,30,Yes,2026
JOB2026_160,Machine Learning Engineer,Microsoft,Chennai,Kubernetes,0-2 Years,17,No,2026
JOB2026_161,Full Stack Developer,Flipkart,Mumbai,Python,5+ Years,25,Yes,2026
JOB2026_162,Full Stack Developer,Flipkart,Noida,Deep Learning,0-2 Years,6,No,2026
JOB2026_163,Software Engineer,Microsoft,Delhi,Deep Learning,2-5 Years,8,No,2026
JOB2026_164,Cyber Security Analyst,Amazon,Hyderabad,AWS,Fresher,16,Yes,2026
JOB2026_165,Data Analyst,TCS,Noida,Deep Learning,Fresher,12,No,2026
JOB2026_166,Data Analyst,Infosys,Noida,Machine Learning,0-2 Years,24,No,2026
JOB2026_167,Machine Learning Engineer,Infosys,Bangalore,Deep Learning,Fresher,5,Yes,2026
JOB2026_168,Cloud Engineer,Microsoft,Chennai,Deep Learning,0-2 Years,30,Yes,2026
JOB2026_169,Software Engineer,Microsoft,Mumbai,Python,0-2 Years,23,Yes,2026
JOB2026_170,Cyber Security Analyst,Microsoft,Bangalore,SQL,5+ Years,35,No,2026
JOB2026_171,Data Analyst,TCS,Hyderabad,SQL,5+ Years,30,No,2026
JOB2026_172,Machine Learning Engineer,Amazon,Hyderabad,React,5+ Years,22,Yes,2026
JOB2026_173,Data Analyst,Accenture,Chennai,SQL,0-2 Years,15,Yes,2026
JOB2026_174,DevOps Engineer,TCS,Chennai,SQL,Fresher,8,No,2026
JOB2026_175,Software Engineer,Flipkart,Chennai,Python,0-2 Years,7,No,2026
JOB2026_176,Full Stack Developer,Google,Hyderabad,Kubernetes,2-5 Years,34,Yes,2026
JOB2026_177,Data Analyst,Infosys,Remote,React,2-5 Years,24,No,2026
JOB2026_178,Software Engineer,Infosys,Bangalore,React,0-2 Years,32,Yes,2026
JOB2026_179,Cyber Security Analyst,Amazon,Noida,Deep Learning,Fresher,24,No,2026
JOB2026_180,Cloud Engineer,Microsoft,Chennai,SQL,Fresher,19,No,2026
JOB2026_181,Cyber Security Analyst,Flipkart,Delhi,Power BI,5+ Years,9,Yes,2026
JOB2026_182,DevOps Engineer,Accenture,Delhi,Docker,2-5 Years,16,Yes,2026
JOB2026_183,DevOps Engineer,OpenAI,Pune,AWS,2-5 Years,17,No,2026
JOB2026_184,Data Analyst,Accenture,Chennai,Power BI,0-2 Years,4,Yes,2026
JOB2026_185,Cyber Security Analyst,Google,Hyderabad,React,Fresher,25,No,2026
JOB2026_186,DevOps Engineer,Accenture,Mumbai,AWS,2-5 Years,4,Yes,2026
JOB2026_187,Data Analyst,TCS,Delhi,Machine Learning,Fresher,31,Yes,2026
JOB2026_188,AI Engineer,Accenture,Delhi,Azure,Fresher,18,Yes,2026
JOB2026_189,AI Engineer,Infosys,Remote,Python,5+ Years,22,Yes,2026
JOB2026_190,DevOps Engineer,Netflix,Pune,Deep Learning,5+ Years,31,No,2026
JOB2026_191,Cloud Engineer,Infosys,Pune,Python,5+ Years,11,Yes,2026
JOB2026_192,Cyber Security Analyst,Google,Hyderabad,SQL,Fresher,9,Yes,2026
JOB2026_193,Machine Learning Engineer,Amazon,Mumbai,Azure,Fresher,8,Yes,2026
JOB2026_194,Full Stack Developer,TCS,Bangalore,Python,Fresher,21,No,2026
JOB2026_195,Data Analyst,Flipkart,Chennai,Azure,2-5 Years,15,No,2026
JOB2026_196,Machine Learning Engineer,Flipkart,Bangalore,React,2-5 Years,17,Yes,2026
JOB2026_197,DevOps Engineer,Microsoft,Pune,React,0-2 Years,6,Yes,2026
JOB2026_198,Data Analyst,Meta,Mumbai,React,2-5 Years,20,No,2026
JOB2026_199,Full Stack Developer,Infosys,Delhi,Power BI,Fresher,22,No,2026
JOB2026_200,Cloud Engineer,Amazon,Remote,React,2-5 Years,33,Yes,2026
